full	six_frames	656	257	1.95e-84	1	120	601	960	1	120
full	six_frames	656	257	1.95e-84	1	120	5775	5416	-3	120
full	six_frames	656	257	1.95e-84	1	120	1565	1924	2	120
full	six_frames	656	257	1.95e-84	1	120	4813	4454	-2	120
full	six_frames	656	257	1.95e-84	1	120	2529	2888	3	120
full	six_frames	656	257	1.95e-84	1	120	3851	3492	-1	120
full	six_frames	36	18.5	0.45	18	30	3514	3476	-2	13
full	six_frames	26	14.6	8.1	13	19	2085	2065	-3	7
internal70	six_frames	393	155	6.37e-50	1	70	676	885	1	70
internal70	six_frames	393	155	6.37e-50	1	70	5700	5491	-3	70
internal70	six_frames	393	155	6.37e-50	1	70	1640	1849	2	70
internal70	six_frames	393	155	6.37e-50	1	70	4738	4529	-2	70
internal70	six_frames	393	155	6.37e-50	1	70	2604	2813	3	70
internal70	six_frames	393	155	6.37e-50	1	70	3776	3567	-1	70
internal70	six_frames	24	13.9	7.3	9	21	3491	3453	-1	13
