full	six_frames	654	256	3.92e-84	1	120	4813	4454	-2	120
full	six_frames	643	252	1.31e-82	1	120	3851	3492	-1	120
full	six_frames	642	251	1.63e-82	1	120	1565	1924	2	120
full	six_frames	640	251	2.73e-82	1	120	5775	5416	-3	120
full	six_frames	640	251	2.73e-82	1	120	2529	2888	3	120
full	six_frames	640	251	2.83e-82	1	120	601	960	1	120
full	six_frames	35	18.1	0.77	18	30	3514	3476	-2	13
internal70	six_frames	404	160	2.51e-51	1	70	4738	4529	-2	70
internal70	six_frames	383	152	1.54e-48	1	70	1640	1849	2	70
internal70	six_frames	383	152	1.57e-48	1	70	3776	3567	-1	70
internal70	six_frames	382	151	2.20e-48	1	70	676	885	1	70
internal70	six_frames	382	151	2.42e-48	1	70	2604	2813	3	70
internal70	six_frames	381	151	2.72e-48	1	70	5700	5491	-3	70
