WORD_CONTEXT_CUTOFF	0	0	16	16	19
WORD_CONTEXT_CUTOFF	0	1	16	16	17
WORD_CONTEXT_CUTOFF	0	2	0	0	2147483647
WORD_CONTEXT_CUTOFF	1	0	16	16	19
WORD_CONTEXT_CUTOFF	1	1	16	16	17
WORD_CONTEXT_CUTOFF	1	2	0	0	2147483647
WORD_CONTEXT_CUTOFF	2	0	16	16	19
WORD_CONTEXT_CUTOFF	2	1	16	16	17
WORD_CONTEXT_CUTOFF	2	2	0	0	2147483647
WORD_CONTEXT_CUTOFF	3	0	16	16	19
WORD_CONTEXT_CUTOFF	3	1	16	16	17
WORD_CONTEXT_CUTOFF	3	2	0	0	2147483647
WORD_CONTEXT_CUTOFF	4	0	16	16	19
WORD_CONTEXT_CUTOFF	4	1	16	16	17
WORD_CONTEXT_CUTOFF	4	2	0	0	2147483647
WORD_CONTEXT_CUTOFF	5	0	16	16	19
WORD_CONTEXT_CUTOFF	5	1	16	16	17
WORD_CONTEXT_CUTOFF	5	2	0	0	2147483647
