full	six_frames	656	257	3.54e-87	120	120	120	0	0	0	1	120	601	960	1
full	six_frames	656	257	3.54e-87	120	120	120	0	0	0	1	120	5775	5416	-3
full	six_frames	656	257	3.54e-87	120	120	120	0	0	0	1	120	1565	1924	2
full	six_frames	656	257	3.54e-87	120	120	120	0	0	0	1	120	4813	4454	-2
full	six_frames	656	257	3.54e-87	120	120	120	0	0	0	1	120	2529	2888	3
full	six_frames	656	257	3.54e-87	120	120	120	0	0	0	1	120	3851	3492	-1
full	six_frames	36	18.5	0.48	5	8	13	8	0	0	18	30	3514	3476	-2
full	six_frames	26	14.6	8.8	3	6	7	4	0	0	13	19	2085	2065	-3
internal70	six_frames	393	155	3.74e-50	70	70	70	0	0	0	1	70	676	885	1
internal70	six_frames	393	155	3.74e-50	70	70	70	0	0	0	1	70	5700	5491	-3
internal70	six_frames	393	155	3.74e-50	70	70	70	0	0	0	1	70	1640	1849	2
internal70	six_frames	393	155	3.74e-50	70	70	70	0	0	0	1	70	4738	4529	-2
internal70	six_frames	393	155	3.74e-50	70	70	70	0	0	0	1	70	2604	2813	3
internal70	six_frames	393	155	3.74e-50	70	70	70	0	0	0	1	70	3776	3567	-1
internal70	six_frames	24	13.9	8.0	4	5	13	9	0	0	9	21	3491	3453	-1
