full	plus1	789	226	8.23e-84	120	120	120	0	0	0	1	120	1	360	1
full	plus1	24	11.7	3.5	8	15	39	31	0	0	20	58	174	58	-3
full	plus1	20	10.6	8.8	5	6	13	8	0	0	54	66	193	155	-2
full	plus1	20	10.6	8.8	3	3	7	4	0	0	34	40	29	9	-1
full	plus1	19	10.3	11	4	6	19	15	0	0	34	52	179	123	-1
full	plus1	16	 9.5	22	2	2	2	0	0	0	94	95	142	137	-2
full	plus1	14	 8.9	34	2	2	2	0	0	0	34	35	44	39	-1
internal70	plus1	474	138	1.12e-49	70	70	70	0	0	0	1	70	76	285	1
internal70	plus1	20	10.6	5.1	5	6	13	8	0	0	29	41	193	155	-2
internal70	plus1	16	 9.5	13	2	2	2	0	0	0	69	70	142	137	-2
